HC50,A,AATS0Z,AATS0d,AATS0i,AATS5i,AATS6i,AATSC1Z,AATSC1dv,AATSC1i,AATSC2Z,AATSC2i,AATSC2s,AATSC3Z,AATSC3v,AATSC5Z,AATSC5dv,AATSC5v,AATSC8Z,AATSC8dv,AATSC8v,ABC,ATSC3d,ATSC4d,ATSC4i,ATSC5Z,ATSC5i,ATSC5p,ATSC6d,ATSC6p,ATSC7i,ATSC8d,ATSC8i,BCUTdv-1l,BCUTi-1l,BCUTs-1l,BIC4,C,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,ETA_beta_ns_d,F,G,GATS4s,GATS8d,I,KK,KL,LK,LL,MAXdssC,MAXsNH2,MAXsOH,MAXssCH2,MAXssNH,MAXsssCH,MDEC-22,MDEN-12,MDEN-22,MDEO-11,MINdO,MINsNH2,MINssCH2,NaaN,NaaNH,NssS,NsssN,V,VE1_A,VR1_A,VSA_EState7,nAcid,label
300.0,0.0,19.971563981042653,2.6966824644549763,168.92409783710252,167.7040774830469,167.062639654958,-0.0707306664270793,1.290537049931493,-0.1607070610552789,0.7719689854685664,-0.2115573235445278,0.2944388441165847,-0.3197049466223002,-4.590735898740789,0.4509979139057973,0.0835586366546124,0.5975844583270536,-0.0354874179572106,0.1442188088523292,-3.2211285804557583,70.88551266756917,23.55699557512184,6.111947170997948,-39.902556113753135,288.6386648997103,-2.049392977751156,-0.1802283530688799,-15.701017497360803,7.225884510046978,-80.3414652157471,-37.379573684328754,-59.54265596455128,0.9871316710538884,11.060032787475896,1.1940111643171292,0.738096552467783,0.0,19.26246486877803,0.0,4.899909730850478,83.08484639628746,27.694948798762496,0.0,0.0,0.1538461538461538,1.157426129389197,1.0913226697495375,0.1538461538461538,0.0,0.0,0.0,0.1666666666666666,-0.4532934951917557,6.210276184484233,9.67077543760624,0.642425223694601,2.8206610357213364,-0.0091918230004226,8.202939793780612,2.6275891682852306,5.475544652485708,8.769423558179893,11.8623517042798,5.456681150388499,-0.7903776357739893,0,0,0,1,0.0,4.8493231235926935,1636710.348927691,0.6994838496991727,1,0
15.9,0.0,20.616966580976865,2.822622107969152,167.82563935628738,166.00218909644113,165.44875298897512,-0.0783875572082121,0.9153191233423726,-0.0354725863559559,0.0845586534585414,-0.1749546145038196,0.1646837183956598,0.0380717263784739,-1.2456529083883552,0.6601948086655438,0.2474163257844705,2.0139446407379835,0.1775661217286794,0.0793921221583984,-0.1477999982611947,139.50802849643046,29.272771128924575,23.02099510312513,-59.59248072863789,787.6124067379938,-53.99346222848005,4.190451124137265,-15.936010203474767,3.2539374019130007,-7.713400729280299,-32.04095267676002,-30.63555468152785,0.987131671068798,10.937032744807702,1.1940102899248854,0.7962253656983869,0.0,89.35986174589658,0.0,37.5165255483016,189.9682962412124,6.923737199690624,0.5,0.15,0.05,1.2536835657212175,1.1681219127383229,0.1,0.1052631578947368,0.0526315789473684,0.0,0.0,-0.3605833602779136,6.317038917318882,11.726313693938726,0.4158929269863374,2.828670435147367,-0.2848517202001259,0.0,0.0,0.0,0.0,12.45685884867966,5.479179691923364,-0.740872229634943,1,2,0,0,0.05,5.1340181035114,3967536.35743638,4.615984060349641,1,1
10.0,0.1111111111111111,20.07482993197279,2.741496598639456,167.96507179059134,166.34094938841514,165.91224621320322,-0.0467304038732607,1.1369890298461736,-0.1251717817184497,0.4648526077097508,-0.2228206272074361,0.1778036108059356,-0.0173054729138031,-2.6785032224327034,0.4120194073905168,0.0418145656772952,0.6843505289703987,0.1335506037252198,0.1010493341443769,-1.2492823882764887,100.84786567447104,25.181405895691583,5.804988662131501,-38.54338077981197,368.7573696145125,-43.97950429660173,0.4210652083684008,-27.44897959183676,0.2872068150268553,-57.79851700036939,-22.96371882086168,-69.72964228301355,0.9871316710687936,10.954418589559728,1.1938814348219446,0.7853447686778348,0.0,50.633137635165625,5.563451491696996,32.59485852961298,132.47315307520938,25.12283840507545,0.0,0.1111111111111111,0.1111111111111111,1.2401496028434336,1.111427101802112,0.1111111111111111,0.0,0.0588235294117647,0.0,0.0,-0.5849666864345295,6.209973451787464,11.081955900480086,0.5080010849331298,2.811287065033507,-0.2220986672149407,0.0,2.226753938189153,8.519689491572123,11.98220735098216,12.25228105716084,5.625432764990131,-0.7224523997863286,0,0,0,1,0.0,5.01898320930832,11277955.265001709,0.0637200781406572,1,1
13.3,0.0,26.202970297029704,2.9331683168316838,167.08411917435953,165.61411337328772,164.33858152695927,-0.5375024956803459,1.0696833300217383,-0.1404641970992262,-0.5274468832210281,-0.2844963541295036,0.1975266449182093,0.1625163753999162,-0.5831417309359465,0.604064522991561,0.1485387600788271,1.1148320706745796,0.0531817951529005,0.2351660189484598,0.3155885574061211,151.63095151558892,-2.718458974610335,1.473482991863554,-85.66336330694878,752.664395647485,-22.70230459087652,9.998957101332618,-50.00827737476718,1.92332956723479,-114.50147204174075,11.05185153416333,-53.76514268215601,0.5463540731057464,10.335791850071278,0.6276721422071345,0.8332624096716214,0.2142857142857142,40.43492265302406,0.0,73.522121483701,101.66860236973208,6.923737199690624,0.5,0.0357142857142857,0.1071428571428571,1.2626592442223843,1.0194525155919982,0.1071428571428571,0.0,0.0,0.0,0.0,-0.4374135042635674,6.204846661480558,10.661703309282675,0.5955650822109939,2.823135607018667,-0.1953773973654298,0.0,2.7186196243024834,0.0,0.0,11.75353016807137,5.776585720165145,-1.1774618472581744,0,1,1,2,0.0714285714285714,6.046773024571523,7557314123.832587,2.1107666057409173,3,1
38.0,0.125,19.81132075471698,2.6264150943396225,169.61720112792588,167.22253065104837,167.24929932461907,-0.1707970592360053,1.124586016807447,-0.1193080726090385,0.493754642265381,-0.2564466093095091,0.2120727964184621,0.0069962341233255,-2.696531899863559,0.5582862264510534,0.1517682161594585,0.8918401056389932,0.0236710746328201,0.1126980262892794,-2.597106258962667,86.79854082359819,32.41107867568531,10.896361694553232,-13.690338886374816,442.1626913492343,-41.70426725214295,-0.5037565515976824,-18.26863652545388,1.5173781225675045,-24.320066951903723,-38.86449270202916,-91.02696912083628,0.9871316710538895,11.060035887449123,1.195411037076926,0.740669663866279,0.0,32.10410811463005,0.0,20.771211599071872,69.23737199690622,27.694948798762496,0.0,0.0,0.0625,1.186925070015579,1.1469241312953806,0.0625,0.0,0.1333333333333333,0.0666666666666666,0.1333333333333333,-0.522205360972442,6.1392618297267365,10.996994412283286,0.6221449541906703,2.7378227256439045,-0.0384522991113238,15.939941637453618,4.4279071789682645,8.444003030074214,11.896224797306669,11.905456083120288,5.3456815122156085,-1.0587266561711122,0,0,0,0,0.0,8.179120824912314,3812.183927967316,0.5461631284951667,1,1
44.65,0.0434782608695652,20.37619047619048,2.692857142857143,170.61073361412147,167.3001212035929,167.28423515493222,-0.1748662346965701,0.97998050209791,-0.1287762448229447,0.269970470886559,-0.1541716975250169,0.2703364635385472,-0.1361996612991187,-1.6784088893567963,0.292236924073659,0.0257048167252248,0.4517198889282051,0.1266651448051257,0.1800208495031122,-2.174280951925082,143.37958563584888,37.671507936507936,16.781853741496576,-58.59872473748912,372.3098412698416,-57.36513018416074,-0.1106436691496506,-17.878129251700713,5.808556973356204,-58.7591852496898,-37.10367346938778,-111.54516398835526,0.9871316710538864,10.954425208506963,1.1939718154848498,0.7470010015306224,0.0,19.26246486877803,5.563451491696996,11.823646930541102,83.08484639628746,44.179309741689295,0.0,0.0434782608695652,0.0869565217391304,1.2254307733746146,1.1148485850801395,0.0434782608695652,0.0454545454545454,0.0454545454545454,0.0,0.0909090909090909,-0.4007888718813135,6.341713396809158,10.686280563303995,0.4414288420056962,2.8514047296180074,-0.0595821848664659,0.0,0.0,0.0,0.0,12.45715752029123,5.3724669201928,-1.0670030758413804,0,0,0,1,0.0434782608695652,5.021346291032467,93051901369.86131,-0.4724745032360888,1,1
75.0,0.1621621621621621,22.13684210526316,2.7771929824561403,168.8129192032915,166.0192670923566,166.20531330024303,-0.2714347825151152,1.0494800605008876,-0.1006478165069862,0.1950465975219565,-0.2863167781270664,0.2258641437516235,0.0100089375426753,-1.2833255855826473,0.614806972423251,0.27844578945505,0.8340581736891155,0.1748703743163577,0.1074814912470215,-1.2384791154869448,202.2079196182831,54.24745152354569,23.48592797783933,-24.63883066797377,1056.8531855955684,-124.0871795749066,0.5894466742169622,-32.716842105263154,-0.9171733523080662,-4.056399249231308,-71.7706094182825,-191.0029570871953,0.546354073106438,10.345846416525754,1.1917718066348295,0.7506638137623142,0.054054054054054,29.531997720943007,20.771211599071872,48.46616039783436,174.08035242321176,0.0,0.0,0.081081081081081,0.081081081081081,1.2234644840093052,1.1578119961215994,0.027027027027027,0.0,0.0,0.0277777777777777,0.0277777777777777,-0.8278203510781268,5.9143534181806965,11.265748291966716,0.2930478802215637,2.697149349260962,-0.1982286289622643,0.0,0.0,0.0,0.0,11.557807654824558,5.435080638994615,-1.0535326700937555,0,0,0,0,0.027027027027027,7.369549958838872,1778271343.7921495,-9.004559957417277,3,1
616.9,0.2857142857142857,20.0327868852459,2.7295081967213117,167.59724600024535,165.09632965052737,166.1369374476584,-0.0775269127321747,0.9894462979835388,-0.0378680111764009,0.1832908575379946,-0.2409248193759284,0.164331459374049,0.0805653020952898,-1.7646094737286389,0.6358834160202196,0.2727985937693445,0.694250980498539,-0.1445081881625546,0.0823982891615899,-3.172590663399993,84.30235980763185,24.72991131416286,7.900631550658423,-8.758642923225567,452.74899220639634,-86.07869626116319,-2.422384585391908,-8.705791453910235,-2.322688935364334,52.181477406691975,-25.92717011556033,-106.86734804783651,0.9871316710687982,10.954418267390444,1.2287328705595004,0.7301193662405964,0.0,69.03823237271466,5.563451491696996,27.694948798762496,88.35861948337862,44.179309741689295,0.0,0.2142857142857142,0.0,1.353657454912784,1.173422726665344,0.0,0.0769230769230769,0.1538461538461538,0.0,0.0,-0.5829514931043482,6.191129804716439,9.763557103144615,0.5040160945273756,2.7847650470951284,-0.0784100691428359,0.0,4.242253288466484,7.071738929797546,7.203212217353963,11.973214751174469,5.797025052958429,-0.0795627097431366,0,0,0,0,0.0,8.317469439847804,3118.958353776728,3.800801433195424,1,0
94.2,0.0,20.83116883116883,2.844155844155844,168.4570480976443,166.2461743225339,165.72102970217185,-0.0928405742462277,0.939052341022647,-0.0592141734500218,0.1673462641254847,-0.1592413624294849,0.1801904761904761,-0.0304388344836917,-1.3349034567505051,0.5112187678809839,0.2034078022960166,1.3525370367448577,0.1438066669078555,0.0640609141711663,-0.4005898489837313,139.1171605706489,26.113469387755107,20.92571428571429,-38.55688738053923,601.704489795918,-45.37723209130961,2.7134923831904363,-12.243265306122437,2.635075897034415,-17.06262345514492,-34.72653061224488,-25.473571615256937,0.9871316710687964,10.937032681363496,1.1940118810447775,0.7982349859570268,0.0,81.8576919404286,13.847474399381248,12.524163646377618,176.9781919730602,13.847474399381248,0.0,0.1,0.05,1.2392949738899264,1.1717595481866196,0.05,0.0,0.0,0.0526315789473684,0.0,-0.2621185134390338,6.23909899289769,11.750662037298715,0.3852066847336954,2.8147352309619,-0.1450228449224586,0.0,0.0,0.0,0.0,12.500856809468017,5.403053440396199,-0.7607742786939098,1,3,0,0,0.1,6.361175589797974,54271667.61460271,3.3112485220499392,1,1
55.3,0.0,25.86987951807229,2.9397590361445785,168.20482509573466,165.78743778584854,165.1899604144834,-0.635383224822111,1.0725457542277683,-0.1527150030875041,-0.162751926461079,-0.2817004903072295,0.2270113973153044,-0.1182710967126515,-1.206433584449921,0.3421501869982069,0.0603035042521992,-0.2173315331249906,-0.2172459802786377,0.2298278634915741,-1.6740186163744315,156.61706238885827,10.715691682392196,-1.823910582087393,-56.9557932322676,433.16213673972993,-35.777956151030146,3.297350493629281,-47.1952562055451,5.770151190450403,-115.00551402897582,-1.5033241399332262,-130.41506298755155,0.5463540731057469,10.34584641787749,1.1917028495474904,0.8352504642289128,0.2068965517241379,29.308019669630077,39.5185957293036,29.16537800469692,72.00473504360325,13.847474399381248,0.5,0.0,0.1379310344827586,1.211679703548427,1.0080472306271384,0.0344827586206896,0.0,0.0,0.0,0.0,-0.4271440871559011,5.769716087852025,11.19541771892711,0.4063878752651209,2.719177403303872,-0.0567769501721351,0.0,5.467749970823201,0.0,0.0,11.743290199899382,5.228621048332247,-1.1951219652322624,0,1,0,2,0.0344827586206896,5.4819697821593305,372318907402.6046,-10.994047095881175,2,1
