Variable,Mean_0,Median_0,Q1_0,Q3_0,Shapiro_p_0,Mode_0,Mean_1,Median_1,Q1_1,Q3_1,Shapiro_p_1,Mode_1,Levene_p
ATS1d,1083.2416356877322,996.0,822.0,1300.5,2.30271153252639e-21,726.0,1186.2857142857142,1154.0,885.5,1425.5,8.28323414013552e-14,652.0,0.0036269493560959604
ATS2d,1736.8562577447335,1592.0,1325.5,2078.5,2.9970449910842265e-21,1174.0,1902.9962073324905,1863.0,1428.0,2272.5,6.199771721293623e-14,1075.0,0.0030349673289152062
ATS3d,2107.3333333333335,1941.0,1610.0,2523.5,2.6581689790774516e-21,1435.0,2307.1542351453854,2262.0,1733.5,2765.5,6.485601206348185e-14,1279.0,0.0021606668817211465
ATS4d,2307.285006195787,2107.0,1764.0,2756.5,2.6108826448595087e-21,1556.0,2526.6093552465236,2475.0,1909.5,3006.5,1.9231669196684137e-14,1523.0,0.003885730544097648
ATS5d,2462.350681536555,2243.0,1863.0,2966.0,2.964930239652848e-21,1657.0,2696.733249051833,2638.0,2034.0,3218.0,4.006686024481111e-14,1484.0,0.0032800555540162244
ATS6d,2701.0161090458487,2457.0,2045.0,3260.0,4.444269841143037e-21,2446.0,2958.991150442478,2906.0,2227.5,3543.5,4.269624997587754e-14,1611.0,0.0029833912463791135
ATS7d,2917.272614622057,2668.0,2195.0,3524.0,1.1243285598883083e-20,2118.0,3190.5499367888747,3153.0,2398.5,3829.0,9.486064181317205e-14,1682.0,0.005300080858609915
ATS8d,3113.6171003717473,2867.0,2347.0,3740.5,2.863036592667567e-20,2215.0,3396.283185840708,3362.0,2553.5,4067.0,1.700495743488913e-13,2180.0,0.009836280173298656
ATS0s,1733.0654537051673,1536.14231824417,1270.9027777777778,2045.6666666666665,1.63044563181633e-23,1252.4444444444443,1886.9653595615666,1767.0555555555557,1389.1944444444443,2276.6666666666665,1.0832793728658289e-17,1125.861111111111,0.08058595458086616
ATS1s,987.8996932703045,888.6111111111111,750.6018518518517,1190.800925925926,1.9328659165200465e-22,663.7222222222222,1074.7121942844658,1029.7191358024693,806.2777777777777,1301.3904320987656,2.6400293634577893e-15,615.2777777777777,0.02988671186738864
ATS2s,1717.409853850822,1540.3055555555557,1297.9583333333333,2061.73611111111,8.944008544248568e-23,1435.0555555555563,1869.327075952199,1782.0277777777787,1402.0138888888887,2245.722222222222,1.059261733176439e-15,1075.0555555555557,0.038880509553376914
ATS3s,2508.1757895166265,2251.9444444444434,1893.5555555555554,2965.3472222222217,1.0564416355785909e-22,1723.9166666666658,2742.7465884201383,2596.5833333333326,2039.9027777777778,3283.583333333332,3.0188678762780276e-16,1669.361111111111,0.019415339993215125
ATS4s,2946.533068418825,2644.944444444445,2220.125,3469.6527777777787,3.559513550545755e-22,2494.083333333335,3233.122137940722,3067.3333333333335,2396.9526748971202,3867.7916666666674,4.523225866931738e-16,1973.3333333333335,0.010263356245641666
ATS5s,3945.747667018526,3543.5000000000014,2939.4722222222235,4630.458333333331,1.9621475356181808e-22,3018.555555555556,4327.504240087818,4091.8611111111127,3165.5833333333335,5192.041666666663,1.4448245023663057e-16,2571.1944444444453,0.016683117321172516
